"human_gene_id"	"mouse_gene_id"	"human_symbol"	"mouse_symbol"	"orthology_source"
"ENSG00000186832"	"ENSMUSG00000053797"	"KRT16"	"Krt16"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000198336"	"ENSMUSG00000061086"	"MYL4"	"Myl4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137310"	"ENSMUSG00000050410"	"TCF19"	"Tcf19"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000140265"	"ENSMUSG00000050619"	"ZSCAN29"	"Zscan29"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000253089"	"ENSMUSG00000064943"	"RNU1-104P"	"Gm23240"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000160293"	"ENSMUSG00000009621"	"VAV2"	"Vav2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000206190"	"ENSMUSG00000025324"	"ATP10A"	"Atp10a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000112249"	"ENSMUSG00000038774"	"ASCC3"	"Ascc3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000077782"	"ENSMUSG00000031565"	"FGFR1"	"Fgfr1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000186136"	"ENSMUSG00000057699"	"TAS2R42"	"Tas2r131"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000239282"	"ENSMUSG00000020424"	"CASTOR1"	"Castor1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000109819"	"ENSMUSG00000029167"	"PPARGC1A"	"Ppargc1a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000224877"	"ENSMUSG00000078572"	"NDUFAF8"	"Ndufaf8"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000284191"	"ENSMUSG00000076387"	"MIR671"	"Mir671"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000181991"	"ENSMUSG00000030611"	"MRPS11"	"Mrps11"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182575"	"ENSMUSG00000046719"	"NXPH3"	"Nxph3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000108561"	"ENSMUSG00000018446"	"C1QBP"	"C1qbp"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000288634"	"ENSMUSG00000144225"	""	""	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000135517"	"ENSMUSG00000025389"	"MIP"	"Mip"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183549"	"ENSMUSG00000030972"	"ACSM5"	"Acsm5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000188596"	"ENSMUSG00000020014"	"CFAP54"	"Cfap54"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000223223"	"ENSMUSG00002076735"	"RN7SKP192"	"Gm54832"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000172289"	"ENSMUSG00000060878"	"OR10V1"	"Or10v1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182944"	"ENSMUSG00000009079"	"EWSR1"	"Ewsr1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000108298"	"ENSMUSG00000017404"	"RPL19"	"Rpl19"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000135407"	"ENSMUSG00000025432"	"AVIL"	"Avil"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000077463"	"ENSMUSG00000034748"	"SIRT6"	"Sirt6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166111"	"ENSMUSG00000042078"	"SVOP"	"Svop"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000090316"	"ENSMUSG00000079562"	"MAEA"	"Maea"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000047346"	"ENSMUSG00000034858"	"ATOSA"	"Atosa"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000111875"	"ENSMUSG00000019857"	"ASF1A"	"Asf1a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000132424"	"ENSMUSG00000028248"	"PNISR"	"Pnisr"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000148341"	"ENSMUSG00000026860"	"SH3GLB2"	"Sh3glb2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000176125"	"ENSMUSG00000051502"	"UFSP1"	"Ufsp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000040199"	"ENSMUSG00000031732"	"PHLPP2"	"Phlpp2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000170627"	"ENSMUSG00000022487"	"GTSF1"	"Gtsf1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000053747"	"ENSMUSG00000024421"	"LAMA3"	"Lama3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000272036"	"ENSMUSG00000065446"	"MIR139"	"Mir139"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000177938"	"ENSMUSG00000041791"	"CAPZA3"	"Capza3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000197992"	"ENSMUSG00000046080"	"CLEC9A"	"Clec9a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000108773"	"ENSMUSG00000020918"	"KAT2A"	"Kat2a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000239195"	"ENSMUSG00000088929"	"SNORD5"	"Gm24299"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000207145"	"ENSMUSG00000065282"	"SNORA18"	"Gm24455"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000057663"	"ENSMUSG00000038160"	"ATG5"	"Atg5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000103047"	"ENSMUSG00000041949"	"TANGO6"	"Tango6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000178358"	"ENSMUSG00000073896"	"OR2D3"	"Or2d36"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000255009"	"ENSMUSG00000074502"	"UBTFL1"	"Ubtfl1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000196976"	"ENSMUSG00000015289"	"LAGE3"	"Lage3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165168"	"ENSMUSG00000015340"	"CYBB"	"Cybb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000124212"	"ENSMUSG00000017969"	"PTGIS"	"Ptgis"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000109445"	"ENSMUSG00000031711"	"ZNF330"	"Zfp330"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000140416"	"ENSMUSG00000032366"	"TPM1"	"Tpm1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000175485"	"ENSMUSG00000073906"	"OR52W1"	"Or52w1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000157600"	"ENSMUSG00000047045"	"TMEM164"	"Tmem164"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000126733"	"ENSMUSG00000025592"	"DACH2"	"Dach2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000101187"	"ENSMUSG00000038963"	"SLCO4A1"	"Slco4a1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000167604"	"ENSMUSG00000036931"	"NFKBID"	"Nfkbid"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000008086"	"ENSMUSG00000031292"	"CDKL5"	"Cdkl5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000171827"	"ENSMUSG00000037001"	"ZNF570"	"Zfp39"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000149506"	"ENSMUSG00000024734"	"ZP1"	"Zp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000130707"	"ENSMUSG00000076441"	"ASS1"	"Ass1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000178878"	"ENSMUSG00000090698"	"APOLD1"	"Apold1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000130037"	"ENSMUSG00000045534"	"KCNA5"	"Kcna5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139610"	"ENSMUSG00000023031"	"CELA1"	"Cela1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000109103"	"ENSMUSG00000002058"	"UNC119"	"Unc119"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000137462"	"ENSMUSG00000027995"	"TLR2"	"Tlr2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000147155"	"ENSMUSG00000031168"	"EBP"	"Ebp"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000081913"	"ENSMUSG00000044340"	"PHLPP1"	"Phlpp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000101146"	"ENSMUSG00000027509"	"RAE1"	"Rae1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000184361"	"ENSMUSG00000044787"	"SPATA32"	"Spata32"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000099330"	"ENSMUSG00000002396"	"OCEL1"	"Ocel1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000164164"	"ENSMUSG00000036990"	"OTUD4"	"Otud4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141639"	"ENSMUSG00000024558"	"MAPK4"	"Mapk4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182492"	"ENSMUSG00000031375"	"BGN"	"Bgn"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000223501"	"ENSMUSG00000024319"	"VPS52"	"Vps52"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000204403"	"ENSMUSG00000025887"	"CASP12"	"Casp12"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166479"	"ENSMUSG00000024614"	"TMX3"	"Tmx3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000134283"	"ENSMUSG00000036167"	"PPHLN1"	"Pphln1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000188486"	"ENSMUSG00000049932"	"H2AX"	"H2ax"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000124225"	"ENSMUSG00000038400"	"PMEPA1"	"Pmepa1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000179222"	"ENSMUSG00000025151"	"MAGED1"	"Maged1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000273908"	"ENSMUSG00002076543"	""	"Gm56384"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000025772"	"ENSMUSG00000018322"	"TOMM34"	"Tomm34"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000145241"	"ENSMUSG00000029253"	"CENPC"	"Cenpc1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000069696"	"ENSMUSG00000025496"	"DRD4"	"Drd4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000104957"	"ENSMUSG00000004994"	"YJU2B"	"Yju2b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000175387"	"ENSMUSG00000024563"	"SMAD2"	"Smad2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000060749"	"ENSMUSG00000074994"	"QSER1"	"Qser1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000175352"	"ENSMUSG00000034825"	"NRIP3"	"Nrip3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000181371"	"ENSMUSG00000043267"	"OR5M8"	"Or5m8"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000133818"	"ENSMUSG00000055723"	"RRAS2"	"Rras2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000089050"	"ENSMUSG00000027428"	"RBBP9"	"Rbbp9"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000099337"	"ENSMUSG00000046410"	"KCNK6"	"Kcnk6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000125977"	"ENSMUSG00000074656"	"EIF2S2"	"Eif2s2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000172757"	"ENSMUSG00000056201"	"CFL1"	"Cfl1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000152592"	"ENSMUSG00000029307"	"DMP1"	"Dmp1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000155115"	"ENSMUSG00000019837"	"GTF3C6"	"Gtf3c6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000004776"	"ENSMUSG00000036854"	"HSPB6"	"Hspb6"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000138798"	"ENSMUSG00000028017"	"EGF"	"Egf"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000112578"	"ENSMUSG00000023988"	"BYSL"	"Bysl"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000196781"	"ENSMUSG00000008305"	"TLE1"	"Tle1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000226660"	"ENSMUSG00000076463"	"TRBV2"	"Trbv3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000237702"	"ENSMUSG00000107486"	"TRBV3-1"	"Trbv4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000112697"	"ENSMUSG00000032328"	"TMEM30A"	"Tmem30a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000080839"	"ENSMUSG00000027641"	"RBL1"	"Rbl1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000105053"	"ENSMUSG00000002205"	"VRK3"	"Vrk3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000167632"	"ENSMUSG00000047921"	"TRAPPC9"	"Trappc9"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000134333"	"ENSMUSG00000063229"	"LDHA"	"Ldha"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000180917"	"ENSMUSG00000046441"	"CMTR2"	"Cmtr2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000065057"	"ENSMUSG00000041429"	"NTHL1"	"Nthl1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000062598"	"ENSMUSG00000017670"	"ELMO2"	"Elmo2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000056050"	"ENSMUSG00000038005"	"HPF1"	"Hpf1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000135541"	"ENSMUSG00000019986"	"AHI1"	"Ahi1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000164093"	"ENSMUSG00000028023"	"PITX2"	"Pitx2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000154065"	"ENSMUSG00000057766"	"ANKRD29"	"Ankrd29"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000147536"	"ENSMUSG00000031546"	"GINS4"	"Gins4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000150628"	"ENSMUSG00000031518"	"SPATA4"	"Spata4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000158863"	"ENSMUSG00000022095"	"FHIP2B"	"Fhip2b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000083799"	"ENSMUSG00000036712"	"CYLD"	"Cyld"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000109756"	"ENSMUSG00000062232"	"RAPGEF2"	"Rapgef2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141668"	"ENSMUSG00000024647"	"CBLN2"	"Cbln2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000139549"	"ENSMUSG00000023000"	"DHH"	"Dhh"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000168461"	"ENSMUSG00000056515"	"RAB31"	"Rab31"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000127720"	"ENSMUSG00000036009"	"METTL25"	"Mettl25"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000256061"	"ENSMUSG00000092192"	"DNAAF4"	"Dnaaf4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000168481"	"ENSMUSG00000033595"	"LGI3"	"Lgi3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000145431"	"ENSMUSG00000028019"	"PDGFC"	"Pdgfc"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000168439"	"ENSMUSG00000024966"	"STIP1"	"Stip1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185551"	"ENSMUSG00000030551"	"NR2F2"	"Nr2f2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000121380"	"ENSMUSG00000030200"	"BCL2L14"	"Bcl2l14"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000197416"	"ENSMUSG00000027530"	"FABP12"	"Fabp12"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000156232"	"ENSMUSG00000045795"	"WHAMM"	"Whamm"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000176624"	"ENSMUSG00000037253"	"MEX3C"	"Mex3c"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000177669"	"ENSMUSG00000071113"	"MBOAT4"	"Mboat4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000176225"	"ENSMUSG00000023066"	"RTTN"	"Rttn"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000168079"	"ENSMUSG00000022032"	"SCARA5"	"Scara5"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000129680"	"ENSMUSG00000067878"	"MAP7D3"	"Map7d3"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000172270"	"ENSMUSG00000023175"	"BSG"	"Bsg"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185043"	"ENSMUSG00000030538"	"CIB1"	"Cib1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185000"	"ENSMUSG00000022555"	"DGAT1"	"Dgat1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000006283"	"ENSMUSG00000020866"	"CACNA1G"	"Cacna1g"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000183530"	"ENSMUSG00000054280"	"PRR14L"	"Prr14l"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000165702"	"ENSMUSG00000026815"	"GFI1B"	"Gfi1b"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000138757"	"ENSMUSG00000029405"	"G3BP2"	"G3bp2"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000166710"	"ENSMUSG00000060802"	"B2M"	"B2m"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000180318"	"ENSMUSG00000036602"	"ALX1"	"Alx1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000100290"	"ENSMUSG00000016758"	"BIK"	"Bik"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000120217"	"ENSMUSG00000016496"	"CD274"	"Cd274"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000101132"	"ENSMUSG00000052033"	"PFDN4"	"Pfdn4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000185163"	"ENSMUSG00000029504"	"DDX51"	"Ddx51"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000069943"	"ENSMUSG00000079469"	"PIGB"	"Pigb"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000100426"	"ENSMUSG00000034333"	"ZBED4"	"Zbed4"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000141994"	"ENSMUSG00000007603"	"DUS3L"	"Dus3l"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000071889"	"ENSMUSG00000031399"	"FAM3A"	"Fam3a"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000197077"	"ENSMUSG00000051339"	"KIAA1671"	"2900026A02Rik"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000182985"	"ENSMUSG00000032076"	"CADM1"	"Cadm1"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
"ENSG00000124228"	"ENSMUSG00000017999"	"DDX27"	"Ddx27"	"Ensembl BioMart (hsapiens_gene_ensembl; ortholog_one2one; downloaded 2026-08-30)"
